country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
PK,UNNAMED 16479,,16479,35.7341,75.7528,14_south_asia_west,,RGI50-14.05035,RGI60-14.05035,,,,,Information derived from RGI5.0. | GLIMS_ID: G075753E35734N (invalid)
PK,UNNAMED 16480,,16480,35.719501,75.1035,14_south_asia_west,G075104E35720N,RGI50-14.05048,RGI60-14.05048,,,,,Information derived from RGI5.0.
PK,UNNAMED 16481,,16481,35.669201,75.163002,14_south_asia_west,G075163E35669N,RGI50-14.05061,RGI60-14.05061,,,,,Information derived from RGI5.0.
PK,UNNAMED 16482,,16482,35.594501,75.432503,14_south_asia_west,,RGI50-14.05085,RGI60-14.05085,,,,,Information derived from RGI5.0. | GLIMS_ID: G075433E35595N (invalid)
PK,UNNAMED 16483,,16483,35.598202,75.459396,14_south_asia_west,,RGI50-14.05088,RGI60-14.05088,,,,,Information derived from RGI5.0. | GLIMS_ID: G075459E35598N (invalid)
PK,UNNAMED 16484,,16484,35.5527,75.487503,14_south_asia_west,,RGI50-14.05096,RGI60-14.05096,,,,,Information derived from RGI5.0. | GLIMS_ID: G075488E35553N (invalid)
PK,UNNAMED 16485,,16485,35.573002,75.478203,14_south_asia_west,,RGI50-14.05099,RGI60-14.05099,,,,,Information derived from RGI5.0. | GLIMS_ID: G075478E35573N (invalid)
PK,UNNAMED 16489,,16489,36.081402,75.197701,14_south_asia_west,,RGI50-14.05153,RGI60-14.05153,,,,,Information derived from RGI5.0. | GLIMS_ID: G075198E36081N (invalid)
PK,UNNAMED 16490,,16490,35.743698,75.7808,14_south_asia_west,,RGI50-14.05162,RGI60-14.05162,,,,,Information derived from RGI5.0. | GLIMS_ID: G075781E35744N (invalid)
PK,UNNAMED 16491,,16491,35.874298,76.027298,14_south_asia_west,,RGI50-14.05173,RGI60-14.05173,,,,,Information derived from RGI5.0. | GLIMS_ID: G076027E35874N (invalid)
PK,UNNAMED 16492,,16492,35.853401,76.049301,14_south_asia_west,G076049E35853N,RGI50-14.05174,RGI60-14.05174,,,,,Information derived from RGI5.0.
PK,UNNAMED 16495,,16495,36.0037,76.019699,14_south_asia_west,,RGI50-14.05199,RGI60-14.05199,,,,,Information derived from RGI5.0. | GLIMS_ID: G076020E36004N (invalid)
PK,UNNAMED 16496,,16496,36.1395,75.8246,14_south_asia_west,G075825E36140N,RGI50-14.05215,RGI60-14.05215,,,,,Information derived from RGI5.0.
PK,UNNAMED 16497,,16497,36.1073,75.916397,14_south_asia_west,G075916E36107N,RGI50-14.05226,RGI60-14.05226,,,,,Information derived from RGI5.0.
PK,UNNAMED 16498,,16498,36.1404,75.906998,14_south_asia_west,G075907E36140N,RGI50-14.05228,RGI60-14.05228,,,,,Information derived from RGI5.0.
PK,UNNAMED 16499,,16499,36.216301,75.732399,14_south_asia_west,G075732E36216N,RGI50-14.05234,RGI60-14.05234,,,,,Information derived from RGI5.0.
PK,UNNAMED 16500,,16500,36.3848,75.258698,14_south_asia_west,,RGI50-14.05269,RGI60-14.05269,,,,,Information derived from RGI5.0. | GLIMS_ID: G075259E36385N (invalid)
PK,UNNAMED 16501,,16501,36.313301,75.3759,14_south_asia_west,G075376E36313N,RGI50-14.05276,RGI60-14.05276,,,,,Information derived from RGI5.0.
PK,UNNAMED 16502,,16502,36.299301,75.391701,14_south_asia_west,,RGI50-14.05282,RGI60-14.05282,,,,,Information derived from RGI5.0. | GLIMS_ID: G075392E36299N (invalid)
PK,UNNAMED 16503,,16503,36.1838,75.478104,14_south_asia_west,,RGI50-14.05284,RGI60-14.05284,,,,,Information derived from RGI5.0. | GLIMS_ID: G075478E36184N (invalid)
PK,UNNAMED 16504,,16504,36.1819,75.579803,14_south_asia_west,,RGI50-14.05287,RGI60-14.05287,,,,,Information derived from RGI5.0. | GLIMS_ID: G075580E36182N (invalid)
PK,UNNAMED 16505,,16505,36.507801,75.774101,14_south_asia_west,G075774E36508N,RGI50-14.05314,RGI60-14.05314,,,,,Information derived from RGI5.0.
PK,UNNAMED 16506,,16506,36.547001,75.776901,14_south_asia_west,G075777E36547N,RGI50-14.05315,RGI60-14.05315,,,,,Information derived from RGI5.0.
PK,UNNAMED 16507,,16507,36.444599,75.725998,14_south_asia_west,G075726E36445N,RGI50-14.05318,RGI60-14.05318,,,,,Information derived from RGI5.0.
PK,UNNAMED 16508,,16508,36.5378,75.633301,14_south_asia_west,,RGI50-14.05323,RGI60-14.05323,,,,,Information derived from RGI5.0. | GLIMS_ID: G075633E36538N (invalid)
PK,UNNAMED 16509,,16509,36.563202,75.649597,14_south_asia_west,,RGI50-14.05329,RGI60-14.05329,,,,,Information derived from RGI5.0. | GLIMS_ID: G075650E36563N (invalid)
